topic_id,ts_start,ts_end,region,actor_group,political_load,TAB,NEK,HSK,HMNI,RSR,ARDI,SRK,PKR,MAF,MSI,EPP,CPB,OPK,ALGO,UL,IPO,HAN,AV,TKI,propaganda_index,framing_intensity,coordination_index,suppression_pressure_index,secret_history_index,hist_visibility_gap,hist_missing_docs_score,hist_treatment_asymmetry,hist_meta_ref_ratio,hist_echo_signal,finance_pressure_index,network_density,geospatial_risk,precursor_score,external_sanction_index,media_censorship_score,incidents_sanction_events_24m,censorship_events_24m,target_sensitive_class,target_suppression_event_6w,target_narrative_shift_4w,target_conflict_intensity
topic_0000,2023-07-19T01:44:58Z,2023-08-12T01:44:58Z,AF,ngo,0.002951679233775817,0.8857330319471688,1.9258077466207761,0.16951598936454218,0.6417693252379354,0.3528455899973942,0.6042347322199121,1.1516300180903525,1.5266633267973686,0.5275936858922107,0.17725745144911376,0.12397550580042282,0.08007347973188661,1.1374627782367739,2.3334411227787313,1.0309738995501754,0.7046518332911038,0.20872793538747011,1.9072653739317784,1.737388308310104,0.3686501002184402,0.6948306637400989,1.984516028541075,0.1334830876081391,0.02081867363256457,0.16749998824666287,-0.9149236651709179,0.09660743371111835,-0.5843832569648107,-0.5102976507545125,0.07724910048168879,0.8424925370469636,0.9438799956277651,0.2549395048378635,2,1,1,5,1,1,1,0.827504752576448
topic_0001,2023-07-17T17:47:23Z,2023-08-15T17:47:23Z,SA,mil,0.6233053282922976,0.5881699288184385,1.0460994839642652,1.3625041638666462,1.6919535375384303,0.45269496217672245,1.4220419843629062,0.3424628684424363,0.9645840500770925,0.06501349679685253,0.2423902587816099,0.18644241634019487,0.5068942331786708,1.0091636604607723,0.24922485687295914,2.8429291230365252,2.427726373566352,2.28508023462009,2.3783398990285454,0.17508756886816212,-0.0009301548718739897,-0.45081136160948093,1.9841349472237908,-1.3434138760726813,-1.1344547214072322,-2.1132567347992226,0.21924585733699564,0.4137862643241671,1.1832066727291162,0.276303910270845,-0.08195316930467643,0.7509712213050123,-0.07027175368464018,0.3674974464116622,2,1,1,3,0,0,0,0.0
topic_0002,2023-08-10T09:49:48Z,2023-08-19T09:49:48Z,SA,acad,0.591805523209429,0.5794907687679102,2.64293478436514,0.5431011063822897,2.7034414916771103,0.38188489585259283,0.41846209740472445,0.4643194885231489,1.5514725146960326,0.5403528125236622,0.8770633616959684,0.5846880936546562,0.47962545051691274,0.1650046047379441,0.011966947115391736,1.1141822448229266,1.4463325481272524,1.5086697188056442,1.2853437194749602,1.8832280388634757,0.8110658503011512,0.00997029216424958,0.37905430214840397,-1.0958902845473177,-1.0793381391028876,-0.424968925366261,0.7514243122777028,0.901691714810151,-1.0222789606360212,1.0674922085761076,-0.4718730984520137,-2.023355878784604,1.1477873411199957,-0.26042499013327697,4,3,3,3,0,1,0,0.3777151370374157
topic_0003,2023-08-15T01:52:13Z,2023-08-23T01:52:13Z,AS,ngo,-0.6448284004374518,15.196210672293478,0.4302161117558777,1.1777314208362464,0.6593279188360588,1.607074453413699,2.0403492007589525,0.43220400680342225,1.7192645470879093,0.7516549292253374,0.1914532469893424,0.06854433515743097,0.7921737050659559,1.4510085660612204,1.0996820702006418,0.6549102974695108,1.7482516518324553,1.48872697985718,0.2059437348907746,0.8036792922878663,1.1928670812104667,0.45395618721517483,0.05881956768518036,1.5993256465521732,-0.7315134711679933,-0.07501334828889307,1.890624070853006,-0.398586459992066,1.966054149037135,0.04501156199921063,0.5606739345181134,-1.778912400685392,-1.037116869633122,0.3282521713674707,1,2,2,2,1,1,0,0.22427540864716952
topic_0004,2023-07-31T17:54:37Z,2023-08-26T17:54:37Z,EU,acad,0.214824796375362,0.18440339158690797,3.3363099312021363,0.9390296440976137,0.9427789169238983,1.2183038149990388,2.124192719305737,0.5676278782890852,0.33584467183615746,0.7106647753052591,0.7536111979258421,0.8197010147720883,0.2812190513194045,0.3293241735931032,1.4665865999118541,2.2524439950209456,1.1402289897044047,0.2674122152393934,2.90511783347335,1.0076963118589193,-1.338565194287433,0.748747217705772,-0.8281695155890672,-0.7048570896376433,0.4483366636896067,1.1329597876154682,-0.3692733737396735,0.5812365941758474,-0.511876068397245,-0.6614368620436069,-0.22699712193495558,-0.7074195151071823,-0.3143101824242183,-1.0987131729692978,1,3,1,3,0,0,0,0.0
topic_0005,2023-08-22T09:57:02Z,2023-08-30T09:57:02Z,SA,ngo,-0.804243603040586,0.14205647605431954,0.76078654492455,0.48003529970651987,0.13387434173425058,1.6583024062217648,0.9141330286212569,1.0017935709063415,1.8196919187276406,0.037261438885014986,0.5627576581499953,0.22590597092310316,0.6503040989423375,0.6471940394406348,0.9043021515929028,0.6660999399845291,1.7995598383867923,0.14518286691474508,1.5496899138402396,0.7810080974501994,0.8964008740945189,-1.2886606853062723,-0.013624202246261874,-0.2711622265665201,1.3494721741787463,0.8338366162948146,-0.8959487423320386,-0.5566200716510474,0.6910885561999339,-2.3289708992910723,-0.36468283660977496,-0.3040370602688813,0.9939510972370964,0.6668656602296459,0,2,0,2,0,1,0,0.4803258197668843
topic_0006,2023-08-07T01:59:27Z,2023-09-03T01:59:27Z,SA,gov,-0.542357854525169,1.903428176048037,2.224305623910716,2.1464671516845506,0.7146244210559859,4.979450115138776,1.3020708152613831,0.8465323669029925,1.0038595015445346,0.8842278499993634,0.9381674018048664,0.3791455137161185,0.5200872946635334,0.31167752733808507,1.6764864250342544,0.13726928443050238,1.9658078221819884,5.47287377541218,0.9405260482014068,0.026635210136480413,-0.7368441152179857,-0.1414774070881389,-1.0903728403077213,-0.2149618961166372,1.1850964470102565,-2.360994688648522,-0.5709560873018672,0.04413240175536134,-1.0855709686893191,-0.5089412277171104,-0.9038173465883651,-0.15762218199855302,1.9318443337359181,-0.6813603601903077,2,2,2,2,0,0,0,0.5181592597911405
topic_0007,2023-08-18T18:01:51Z,2023-09-06T18:01:51Z,SA,ngo,-0.7135161481327266,0.7225578414528014,0.6726650311412634,0.26344186487750076,4.604450675225721,2.0947302252211126,0.30051356372600657,0.2454855984973147,10.541793780598953,0.6588972250368218,0.9633217178089106,0.442682677033181,0.23118161068159315,2.1688234943098075,0.8555665304096723,0.23889548922151155,0.8792222083448604,1.6408092718806686,1.3225646692385145,1.1382763999982184,-1.338658408880426,-0.16936672130148175,1.1484792372175503,-0.024301786364864637,1.00947301821969,-0.37283447157133387,1.7468990088623606,-1.4710184402056878,-0.9121082544974368,0.4119117126074414,-0.03580308994968629,0.7048990887916952,0.12506942853102837,0.9450174125757107,1,1,1,1,0,0,0,0.0
topic_0008,2023-08-22T10:04:16Z,2023-09-10T10:04:16Z,AS,gov,-0.3808655279878701,0.5088538270378402,0.549708742417629,0.15887906263955726,5.402122194931047,2.340281180918965,0.18751755763058417,0.48972649052612427,0.4239096010476712,0.7178486140938592,0.9554890165432487,0.7597830101871056,0.1358655712407103,3.1985113688289286,0.47929634283151656,0.8888308247161152,1.658727424084504,0.4656815423612877,1.8151623145084979,0.3802080911556609,-0.3841817070149898,0.25708744769608927,-1.2916037871358759,0.8246228417376235,0.15920562405459276,-0.08924658284456784,0.26102254244925077,2.72385999436596,-0.8866294298360718,0.42922535083289265,0.2392726586613759,-0.9334440729074752,-0.7615967842557516,-0.4279171931930114,3,3,2,1,0,1,0,0.0
topic_0009,2023-08-24T02:06:41Z,2023-09-14T02:06:41Z,AS,acad,-0.09313641206392642,1.9479346447065704,0.3408932835867508,3.9108235494598413,6.9255665105451145,1.4555675054600865,2.801989978957547,4.357695069845753,0.34678059983223675,0.8052951525384647,0.20048564282498393,0.6544266752864805,0.19483501120604652,0.2802039969308893,0.12381162766693399,0.5858451066187481,2.0448653580524723,0.13259145926046517,3.306922572175049,2.039626434050559,0.23106051973661448,-0.8623289847065446,-0.7124454206588857,0.46367096108536376,-0.23363146953270317,-1.4383301548189975,0.31678622338174417,0.4842784292643368,-0.0008133331871660997,1.264328955577002,0.8662106171063052,-1.27325474735095,0.4735082182430448,-0.41551019181642396,3,2,2,3,0,1,0,0.21983600101541567
